Date,fedfunds,nonfarm,indpro,SP500,ty10,unemploy,recession
1959-01-31,2.48,52478.0,22.625,55.450001,,4068.0,0.0
1959-02-28,2.43,52688.0,23.0681,55.41,,3965.0,
1959-03-31,2.8,53014.0,23.4004,55.439999,,3801.0,
1959-04-30,2.96,53321.0,23.8989,57.59,,3571.0,0.0
1959-05-31,2.9,53550.0,24.2589,58.68,,3479.0,
1959-06-30,3.39,53681.0,24.2866,58.470001,,3429.0,
1959-07-31,3.47,53804.0,23.705,60.509997999999996,,3528.0,0.0
1959-08-31,3.5,53336.0,22.9019,59.599998,,3588.0,
1959-09-30,3.76,53428.0,22.8743,56.880001,,3775.0,
1959-10-31,3.98,53358.0,22.7081,57.52,,3910.0,0.0
1959-11-30,4.0,53634.0,22.8466,58.279999,,4003.0,
1959-12-31,3.99,54174.0,24.2589,59.889998999999996,,3653.0,
1960-01-31,3.99,54274.0,24.8958,55.610001000000004,,3615.0,0.0
1960-02-29,3.97,54513.0,24.6743,56.119999,,3329.0,
1960-03-31,3.84,54454.0,24.4528,55.34,,3726.0,
1960-04-30,3.92,54813.0,24.2589,54.369999,,3620.0,1.0
1960-05-31,3.85,54475.0,24.2312,55.830002,,3569.0,
1960-06-30,3.32,54348.0,23.9266,56.919998,,3766.0,
1960-07-31,3.23,54306.0,23.8435,55.509997999999996,,3836.0,1.0
1960-08-31,2.98,54272.0,23.8158,56.959998999999996,,3946.0,
1960-09-30,2.6,54227.0,23.5666,53.52,,3884.0,
1960-10-31,2.47,54142.0,23.5389,53.389998999999996,,4252.0,1.0
1960-11-30,2.44,53961.0,23.2066,55.540001000000004,,4330.0,
1960-12-31,1.98,53742.0,22.7635,58.110001000000004,,4617.0,
1961-01-31,1.45,53683.0,22.7912,61.779999,,4671.0,0.0
1961-02-28,2.54,53557.0,22.7635,63.439999,,4832.0,
1961-03-31,2.02,53659.0,22.902,65.059998,,4853.0,
1961-04-30,1.49,53627.0,23.3727,65.309998,,4893.0,0.0
